iter	Passed	Remaining
249	155942	467828
250	156584	467256
251	157226	466689
252	157859	466091
253	158496	465506
254	159104	464834
255	159725	464202
256	160329	463522
257	160965	462932
258	161584	462293
259	162243	461769
260	162864	461138
261	163504	460559
262	164084	459810
263	164702	459170
264	165238	458303
265	165860	457674
266	166516	457141
267	167178	456620
268	167786	455954
269	168449	455437
270	169065	454793
271	169717	454242
272	170556	454193
273	171414	454185
274	172207	454001
275	172913	453584
276	173554	452994
277	174178	452363
278	174880	451930
279	175619	451594
280	176250	450975
281	176890	450381
282	177626	450027
283	178243	449375
284	178912	448850
285	179554	448259
286	180178	447620
287	180750	446856
288	181375	446220
289	181954	445473
290	182595	444880
291	183222	444251
292	183803	443512
293	184535	443136
294	185208	442617
295	185834	441985
296	186584	441645
297	187252	441111
298	187925	440587
299	188584	440029
300	189197	439365
301	189905	438921
302	190551	438331
303	191125	437576
304	191776	436999
305	192447	436465
306	193068	435818
307	193698	435192
308	194349	434612
309	195033	434105
310	195739	433646
311	196449	433195
312	197109	432632
313	197800	432137
314	198469	431592
315	199116	430999
316	199821	430530
317	200428	429849
318	201084	429273
319	201848	428928
320	202573	428496
321	203162	427777
322	203805	427171
323	204386	426435
324	205028	425828
325	205760	425405
326	206567	425137
327	207198	424504
328	207807	423826
329	208411	423138
330	208963	422346
331	209615	421756
332	210219	421070
333	210855	420447
334	211506	419856
335	212127	419203
336	212740	418535
337	213339	417842
338	213948	417168
339	214614	416604
340	215260	416002
341	215929	415443
342	216611	414907
343	217259	414308
344	217893	413682
345	218551	413099
346	219201	412502
347	219821	411848
348	220441	411196
349	221134	410678
350	221843	410188
351	222501	409604
352	223272	409228
353	224087	408927
354	224709	408274
355	225360	407674
356	226007	407066
357	226708	406556
358	227460	406133
359	228205	405698
360	228954	405268
361	229727	404878
362	230541	404559
363	231325	404184
364	231989	403597
365	232806	403277
366	233533	402797
367	234306	402395
368	234944	401761
369	235619	401190
370	236207	400469
371	236842	399831
372	237604	399404
373	238303	398871
374	239083	398472
375	239802	397969
376	240554	397521
377	241257	396989
378	242025	396564
379	242831	396197
380	243483	395580
381	244229	395114
382	244874	394484
383	245528	393869
384	246164	393223
385	246806	392588
386	247487	392015
387	248134	391386
388	248763	390730
389	249386	390066
390	250048	389461
391	250704	388848
392	251331	388189
393	251966	387542
394	252604	386900
395	253214	386216
396	253898	385644
397	254836	385455
398	255772	385261
399	256779	385169
400	257643	384858
401	258487	384516
402	259338	384181
403	260232	383907
404	261088	383573
405	261953	383252
406	262813	382920
407	263689	382607
408	264536	382251
409	265405	381925
410	266172	381448
411	267053	381135
412	267897	380764
413	268730	380377
414	269663	380127
415	270420	379629
416	271280	379271
417	272140	378912
418	273024	378585
419	273926	378279
420	274786	377913
421	275669	377576
422	276548	377230
423	277456	376922
424	278372	376621
425	279212	376216
426	280063	375823
427	280973	375506
428	281870	375169
429	282772	374838
430	283626	374440
431	284512	374081
432	285362	373672
433	286217	373269
434	287072	372864
435	287887	372404
436	288753	372009
437	289620	371613
438	290443	371158
439	291310	370759
440	292180	370360
441	293003	369900
442	293824	369436
443	294720	369064
444	295596	368665
445	296503	368303
446	297404	367929
447	298304	367553
448	299265	367249
449	300132	366828
450	300927	366318
451	301780	365875
452	302696	365507
453	303571	365088
454	304307	364500
455	305261	364172
456	306129	363738
457	306995	363300
458	307878	362880
459	308754	362451
460	309657	362050
461	310528	361611
462	311328	361087
463	312196	360640
464	313085	360216
465	313920	359728
466	314760	359244
467	315606	358766
468	316458	358292
469	317261	357762
470	318130	357305
471	318978	356823
472	319875	356394
473	320746	355933
474	321634	355491
475	322456	354973
476	323216	354385
477	324096	353929
478	325003	353500
479	325958	353121
480	326822	352642
481	327701	352177
482	328583	351713
483	329429	351209
484	330314	350746
485	331211	350294
486	332036	349763
487	332877	349248
488	333748	348763
489	334593	348250
490	335449	347747
491	336330	347268
492	337174	346749
493	338106	346319
494	339052	345901
495	339951	345434
496	340832	344947
497	341682	344427
498	342592	343965
499	343448	343448
500	344277	342903
501	345169	342418
502	346024	341896
503	346924	341417
504	347774	340888
505	348650	340382
506	349470	339820
507	350360	339325
508	351230	338810
509	352099	338292
510	352944	337749
511	353821	337235
512	354768	336788
513	355673	336298
514	356534	335765
515	357403	335238
516	358352	334785
517	359231	334265
518	360127	333760
519	360961	333195
520	361839	332669
521	362681	332110
522	363568	331591
523	364459	331073
524	365286	330496
525	366189	329988
526	367009	329403
527	367893	328874
528	368760	328329
529	369616	327773
530	370545	327280
531	371434	326750
532	372313	326211
533	373211	325686
534	374063	325120
535	374957	324589
536	375823	324034
537	376670	323460
538	377562	322924
539	378407	322347
540	379263	321777
541	380126	321213
542	381061	320708
543	381987	320195
544	382889	319660
545	383797	319128
546	384712	318601
547	385597	318047
548	386454	317469
549	387340	316914
550	388126	316277
551	389051	315751
552	389942	315197
553	390860	314663
554	391737	314095
555	392565	313487
556	393414	312894
557	394262	312301
558	395142	311731
559	395975	311123
560	396749	310468
561	397658	309918
562	398558	309361
563	399439	308786
564	400287	308185
565	401140	307588
566	401982	306981
567	402711	306287
568	403564	305687
569	404412	305083
570	405300	304507
571	406158	303909
572	406985	303285
573	407916	302739
574	408763	302129
575	409733	301609
576	410618	301025
577	411527	300458
578	412323	299806
579	413230	299235
580	414105	298640
581	415044	298090
582	415968	297528
583	416875	296952
584	417798	296386
585	418657	295774
586	419587	295212
587	420444	294597
588	421308	293985
589	422183	293381
590	423038	292762
591	423878	292132
592	424799	291556
593	425704	290969
594	426684	290432
595	427572	289830
596	428420	289202
597	429297	288591
598	430203	287999
599	431076	287384
600	431966	286779
601	432726	286088
602	433651	285505
603	434540	284897
604	435448	284301
605	436336	283690
606	437211	283070
607	438077	282444
608	438932	281810
609	439828	281202
610	440777	280625
611	441678	280018
612	442549	279390
613	443387	278742
614	444279	278125
615	445139	277489
616	446015	276861
617	446932	276259
618	447848	275654
619	448819	275082
620	449725	274470
621	450603	273839
622	451471	273201
623	452278	272526
624	453164	271898
625	454070	271281
626	454913	270626
627	455776	269982
628	456653	269345
629	457557	268724
630	458409	268071
631	459300	267440
632	460209	266819
633	461106	266191
634	461984	265549
635	462875	264916
636	463729	264260
637	464604	263615
638	465509	262987
639	466331	262311
640	467166	261642
641	468003	260974
642	468871	260321
643	469757	259679
644	470624	259025
645	471468	258358
646	472312	257691
647	473199	257046
648	474103	256410
649	474927	255730
650	475787	255068
651	476702	254436
652	477561	253773
653	478468	253134
654	479281	252446
655	480159	251791
656	481000	251116
657	481867	250453
658	482733	249790
659	483577	249115
660	484429	248443
661	485281	247772
662	486136	247100
663	486979	246423
664	487760	245713
665	488640	245053
666	489515	244390
667	490331	243697
668	491193	243027
669	492001	242328
670	492876	241663
671	493651	240948
672	494578	240307
673	495429	239629
674	496291	238955
675	497119	238264
676	497980	237589
677	498809	236897
678	499697	236234
679	500514	235536
680	501480	234907
681	502349	234233
682	503187	233544
683	504045	232863
684	504907	232183
685	505702	231473
686	506577	230798
687	507397	230098
688	508234	229406
689	509112	228731
690	510001	228061
691	510807	227353
692	511644	226659
693	512376	225917
694	513189	225212
695	514050	224527
696	514919	223845
697	515798	223167
698	516624	222466
699	517469	221772
700	518313	221078
701	519152	220381
702	520017	219694
703	520821	218981
704	521756	218323
705	522665	217653
706	523396	216909
707	524211	216200
708	525094	215518
709	525926	214815
710	526790	214124
711	527751	213472
712	528574	212764
713	529439	212072
714	530300	211378
715	531149	210679
716	532021	209988
717	532894	209298
718	533798	208619
719	534659	207923
720	535505	207220
721	536231	206471
722	537198	205814
723	538061	205117
724	538827	204383
725	539680	203680
726	540605	203006
727	541482	202311
728	542327	201605
729	543143	200888
730	543984	200180
731	544831	199473
732	545715	198780
733	546585	198081
734	547425	197370
735	548254	196656
736	549153	195966
737	550025	195266
738	550919	194573
739	551774	193866
740	552610	193152
741	553523	192465
742	554442	191778
743	555290	191067
744	556162	190364
745	556994	189646
746	557842	188934
747	558689	188221
748	559551	187513
749	560385	186795
750	561253	186087
751	562129	185383
752	563018	184682
753	563887	183973
754	564740	183260
755	565620	182554
756	566500	181848
757	567369	181139
758	568210	180419
759	568953	179669
760	569780	178945
761	570652	178235
762	571559	177535
763	572401	176815
764	573266	176101
765	574122	175384
766	574971	174665
767	575857	173956
768	576692	173232
769	577579	172523
770	578397	171793
771	579246	171072
772	580132	170362
773	580920	169622
774	581788	168906
775	582595	168171
776	583451	167451
777	584308	166730
778	585177	166013
779	586023	165288
780	586852	164559
781	587712	163837
782	588570	163115
783	589389	162382
784	590206	161648
785	591128	160943
786	591961	160213
787	592823	159490
788	593679	158766
789	594579	158052
790	595433	157326
791	596291	156601
792	597165	155880
793	597934	155131
794	598856	154422
795	599713	153695
796	600600	152975
797	601460	152249
798	602374	151536
799	603241	150810
800	604113	150085
801	605003	149365
802	605858	148635
803	606728	147909
804	607595	147181
805	608382	146434
806	609302	145719
807	610149	144986
808	611055	144266
809	611947	143543
810	612839	142819
811	613696	142087
812	614517	141346
813	615381	140615
814	616319	139900
815	617173	139166
816	618045	138436
817	618920	137705
818	619782	136972
819	620679	136246
820	621544	135513
821	622416	134781
822	623321	134055
823	624224	133329
824	625131	132603
825	625997	131868
826	626840	131128
827	627698	130391
828	628584	129659
829	629429	128919
830	630319	128187
831	631161	127446
832	631945	126692
833	632725	125938
834	633594	125201
835	634475	124466
836	635320	123724
837	636149	122978
838	637005	122238
839	637882	121501
840	638775	120767
841	639615	120022
842	640512	119288
843	641343	118542
844	642172	117795
845	642912	117031
846	643783	116291
847	644721	115563
848	645587	114821
849	646425	114075
850	647295	113333
851	648203	112598
852	649007	111845
853	649903	111107
854	650691	110351
855	651599	109614
856	652454	108869
857	653199	108105
858	654056	107359
859	654963	106622
860	655870	105883
861	656823	105152
862	657725	104412
863	658605	103669
864	659455	102920
865	660397	102186
866	661258	101438
867	662114	100690
868	662946	99937
869	663846	99195
870	664698	98445
871	665576	97699
872	666326	96934
873	667169	96182
874	668031	95433
875	668880	94681
876	669765	93935
877	670691	93194
878	671567	92445
879	672531	91708
880	673405	90959
881	674291	90211
882	675213	89467
883	676054	88713
884	676924	87961
885	677770	87207
886	678602	86451
887	679402	85690
888	680238	84934
889	681111	84182
890	681967	83428
891	682794	82670
892	683668	81917
893	684494	81159
894	685322	80400
895	686259	79655
896	687078	78895
897	687913	78137
898	688741	77378
899	689584	76620
900	690430	75863
901	691232	75100
902	692085	74343
903	692946	73587
904	693793	72829
905	694657	72072
906	695552	71319
907	696375	70557
908	697205	69797
909	698079	69040
910	698967	68285
911	699707	67515
912	700561	66756
913	701445	66000
914	702281	65239
915	703103	64476
916	703910	63712
917	704748	62951
918	705604	62191
919	706498	61434
920	707328	60672
921	708189	59911
922	709017	59148
923	709837	58384
924	710702	57624
925	711570	56864
926	712430	56102
927	713341	55345
928	714184	54582
929	715031	53819
930	715978	53063
931	716843	52301
932	717745	51542
933	718584	50777
934	719451	50015
935	720322	49252
936	721118	48485
937	721989	47722
938	722847	46958
939	723722	46195
940	724532	45427
941	725408	44664
942	726255	43898
943	727149	43136
944	728047	42373
945	728872	41605
946	729762	40842
947	730620	40076
948	731333	39302
949	732195	38536
950	733089	37772
951	733960	37006
952	734812	36239
953	735691	35473
954	736588	34708
955	737444	33940
956	738321	33174
957	739196	32407
958	740036	31638
959	740931	30872
960	741819	30105
961	742715	29338
962	743624	28571
963	744350	27797
964	745213	27028
965	746065	26259
966	746946	25490
967	747812	24721
968	748666	23951
969	749543	23181
970	750391	22411
971	751295	21642
972	752179	20872
973	753063	20102
974	753931	19331
975	754789	18560
976	755622	17788
977	756507	17017
978	757439	16247
979	758175	15472
980	759028	14700
981	759877	13928
982	760772	13156
983	761648	12384
984	762554	11612
985	763398	10839
986	764324	10067
987	765194	9293
988	766100	8520
989	767038	7747
990	767785	6972
991	768647	6198
992	769525	5424
993	770377	4650
994	771267	3875
995	772138	3100
996	773077	2326
997	773946	1550
998	774832	775
999	775694	0
