iter	Logloss
0	0.2155413788
1	0.1136364017
2	0.08788582223
3	0.07942152168
4	0.07578344293
5	0.07385347527
6	0.07339195831
7	0.07298994936
8	0.07268310973
9	0.07243982297
10	0.07204914534
11	0.07193945159
12	0.07177191873
13	0.07156951445
14	0.07148060979
15	0.07137934474
16	0.07130577617
17	0.07115772766
18	0.07103183605
19	0.07095485331
20	0.07087906892
21	0.07082882561
22	0.07077321593
23	0.07073021775
24	0.07067756508
25	0.07064076876
26	0.07058427287
27	0.07054493342
28	0.07050912738
29	0.0704398735
30	0.07039811014
31	0.07037122908
32	0.07033594997
33	0.07027900178
34	0.07024615717
35	0.07017376611
36	0.07014989144
37	0.07009358125
38	0.07002553106
39	0.06999260088
40	0.06996118553
41	0.06992448619
42	0.06990660303
43	0.0698743101
44	0.06982877989
45	0.06979501854
46	0.06976942605
47	0.06974838161
48	0.06971815603
49	0.06968801998
50	0.06965892948
51	0.06964708593
52	0.06962562518
53	0.06961052962
54	0.06959675506
55	0.06957855642
56	0.06955863432
57	0.06952897152
58	0.06950097858
59	0.0694861675
60	0.06947354781
61	0.06945102612
62	0.06943063287
63	0.06939166736
64	0.0693724477
65	0.06934334702
66	0.06931638942
67	0.06928934687
68	0.06926190273
69	0.06923971025
70	0.06921673246
71	0.06920248751
72	0.06918478708
73	0.06917229391
74	0.06914852171
75	0.06912514056
76	0.06909216669
77	0.06907765784
78	0.06904761266
79	0.06902580609
80	0.06899485008
81	0.06897991382
82	0.0689526741
83	0.06893900981
84	0.0689277109
85	0.06891032206
86	0.06888748306
87	0.0688720168
88	0.06885362696
89	0.06884206229
90	0.06882109201
91	0.06880819354
92	0.06878516601
93	0.06876691179
94	0.06876035867
95	0.06872621451
96	0.06870845292
97	0.06869108346
98	0.06867006811
99	0.06865315918
100	0.06863514843
101	0.06860659343
102	0.06858777239
103	0.06857394038
104	0.06854943488
105	0.06853543323
106	0.06852308159
107	0.06851033412
108	0.06850200712
109	0.06848007679
110	0.06846567552
111	0.06845728064
